t,xc,yc,zc,rxdegc,rydegc,rzdegc,vx,vy,vz,rx,ry,rz
200.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,0.20,-0.12,-120.00,0.00,0.00
200.33,-0.00,0.03,0.01,0.06,0.02,-0.02,-0.07,0.20,-0.12,-119.94,0.02,-0.02
200.67,-0.00,0.06,0.01,0.12,0.03,-0.03,-0.06,0.20,-0.12,-119.88,0.03,-0.03
201.00,0.01,0.09,0.02,0.09,0.09,0.08,-0.05,0.21,-0.13,-119.82,0.05,-0.05
201.33,0.00,0.12,0.02,0.16,0.11,0.07,-0.05,0.22,-0.14,-119.75,0.06,-0.06
201.67,0.00,0.15,0.03,0.24,0.12,0.06,-0.04,0.23,-0.14,-119.67,0.08,-0.06
202.00,0.02,0.18,0.05,0.19,0.26,0.23,-0.04,0.24,-0.14,-119.59,0.10,-0.07
202.33,0.02,0.21,0.07,0.28,0.28,0.23,-0.04,0.24,-0.14,-119.50,0.12,-0.08
202.67,0.02,0.24,0.08,0.36,0.29,0.22,-0.03,0.23,-0.14,-119.41,0.13,-0.08
203.00,0.04,0.27,0.09,0.29,0.42,0.45,-0.02,0.22,-0.13,-119.34,0.15,-0.09
203.33,0.04,0.30,0.10,0.37,0.42,0.44,-0.01,0.21,-0.12,-119.27,0.15,-0.10
203.67,0.05,0.33,0.11,0.43,0.42,0.43,-0.00,0.22,-0.12,-119.20,0.15,-0.11
204.00,0.07,0.36,0.12,0.17,0.50,0.67,0.00,0.23,-0.14,-119.14,0.15,-0.12
204.33,0.07,0.40,0.12,0.24,0.48,0.66,0.01,0.24,-0.16,-119.07,0.14,-0.13
204.67,0.08,0.43,0.13,0.33,0.46,0.64,0.01,0.26,-0.17,-118.98,0.12,-0.14
205.00,0.07,0.45,0.15,0.28,0.25,0.27,0.01,0.28,-0.19,-118.87,0.10,-0.14
205.33,0.07,0.47,0.18,0.40,0.24,0.25,0.01,0.29,-0.20,-118.75,0.09,-0.16
205.67,0.08,0.50,0.19,0.52,0.22,0.23,0.00,0.27,-0.19,-118.64,0.08,-0.17
206.00,0.08,0.52,0.22,0.96,0.24,0.20,-0.00,0.24,-0.16,-118.51,0.07,-0.17
206.33,0.08,0.53,0.24,1.06,0.23,0.18,-0.01,0.19,-0.12,-118.42,0.07,-0.18
206.67,0.08,0.56,0.24,1.11,0.21,0.14,-0.02,0.14,-0.08,-118.37,0.08,-0.19
207.00,0.12,0.59,0.24,1.14,0.32,0.21,-0.02,0.10,-0.04,-118.35,0.09,-0.21
207.33,0.13,0.61,0.22,1.14,0.30,0.14,-0.02,0.07,-0.02,-118.36,0.10,-0.22
207.67,0.13,0.64,0.22,1.14,0.27,0.07,-0.02,0.07,-0.02,-118.36,0.10,-0.23
208.00,0.15,0.66,0.21,1.09,0.28,0.07,-0.01,0.10,-0.05,-118.36,0.10,-0.24
208.33,0.15,0.69,0.20,1.10,0.23,-0.03,0.01,0.14,-0.08,-118.34,0.10,-0.25
208.67,0.16,0.71,0.21,1.16,0.17,-0.13,0.02,0.18,-0.12,-118.28,0.09,-0.26
209.00,0.17,0.72,0.23,1.10,0.20,-0.10,0.03,0.23,-0.16,-118.19,0.07,-0.26
209.33,0.17,0.73,0.26,1.21,0.12,-0.22,0.04,0.26,-0.18,-118.07,0.05,-0.26
209.67,0.17,0.75,0.27,1.32,0.03,-0.34,0.04,0.26,-0.19,-117.97,0.04,-0.26
210.00,0.18,0.78,0.29,1.02,-0.14,-0.48,0.03,0.25,-0.18,-117.86,0.02,-0.25
210.33,0.17,0.80,0.30,1.11,-0.24,-0.64,0.01,0.23,-0.16,-117.77,0.01,-0.25
210.67,0.18,0.83,0.30,1.19,-0.33,-0.81,-0.01,0.22,-0.16,-117.69,0.01,-0.25
211.00,0.19,0.86,0.29,0.97,0.12,-0.61,-0.03,0.23,-0.16,-117.64,0.03,-0.25
211.33,0.19,0.90,0.28,1.03,0.03,-0.82,-0.07,0.22,-0.16,-117.58,0.06,-0.25
211.67,0.17,0.92,0.29,1.11,-0.06,-1.05,-0.15,0.20,-0.13,-117.49,0.09,-0.25
212.00,0.12,0.91,0.34,1.61,-0.82,-1.73,-0.27,0.15,-0.08,-117.36,0.11,-0.22
212.33,0.06,0.90,0.38,1.70,-0.88,-2.00,-0.41,0.09,-0.02,-117.28,0.20,-0.22
212.67,0.02,0.90,0.40,1.71,-0.83,-2.29,-0.56,0.01,0.06,-117.26,0.40,-0.22
213.00,0.06,0.92,0.39,1.88,0.57,-1.72,-0.70,-0.09,0.16,-117.30,0.72,-0.33
213.33,0.03,0.94,0.38,1.74,0.74,-2.08,-0.80,-0.17,0.24,-117.41,1.09,-0.32
213.67,-0.01,0.95,0.37,1.59,0.91,-2.45,-0.80,-0.19,0.26,-117.52,1.47,-0.32
214.00,-0.02,0.98,0.35,1.90,-0.29,-3.64,-0.70,-0.15,0.23,-117.64,1.86,-0.26
214.33,-0.04,1.00,0.34,1.76,-0.20,-4.06,-0.55,-0.08,0.17,-117.75,2.19,-0.26
214.67,-0.08,1.01,0.35,1.70,-0.25,-4.51,-0.40,-0.01,0.11,-117.79,2.39,-0.25
215.00,-0.14,0.99,0.40,0.80,1.47,-2.89,-0.24,0.06,0.04,-117.78,2.48,-0.31
215.33,-0.20,0.99,0.44,0.85,1.20,-3.40,-0.11,0.12,-0.02,-117.72,2.49,-0.30
215.67,-0.23,1.00,0.47,0.89,0.90,-3.95,-0.05,0.16,-0.06,-117.67,2.49,-0.30
216.00,-0.25,1.02,0.48,-1.27,1.82,-3.61,-0.04,0.17,-0.08,-117.66,2.48,-0.33
216.33,-0.26,1.05,0.48,-1.24,1.45,-4.24,-0.06,0.18,-0.08,-117.61,2.48,-0.33
216.67,-0.27,1.08,0.50,-1.20,1.08,-4.89,-0.08,0.19,-0.09,-117.56,2.49,-0.34
217.00,-0.28,1.09,0.52,-0.33,-2.06,-5.51,-0.09,0.20,-0.10,-117.48,2.51,-0.39
217.33,-0.28,1.11,0.54,-0.33,-2.47,-6.32,-0.09,0.21,-0.10,-117.41,2.54,-0.40
217.67,-0.28,1.14,0.56,-0.32,-2.93,-7.19,-0.08,0.22,-0.11,-117.34,2.56,-0.42
218.00,-0.30,1.15,0.58,0.51,-3.64,-6.29,-0.06,0.22,-0.11,-117.25,2.54,-0.42
218.33,-0.31,1.18,0.60,0.54,-4.20,-7.33,-0.03,0.22,-0.10,-117.18,2.53,-0.44
218.67,-0.32,1.20,0.62,0.58,-4.80,-8.42,-0.03,0.21,-0.10,-117.10,2.51,-0.45
219.00,-0.35,1.22,0.64,-2.46,-4.14,-8.96,-0.04,0.20,-0.08,-117.02,2.48,-0.44
